#,Player Name,Pos.,GP,G,A,Pts,PIM,"""+/-""",GP,G,A,Pts,PIM,Birthplace,Age
1,Jake O'Brien,C,53,28,65,93,28,34,15,6,17,23,4,ONT: Toronto,18
2,Caleb Malhotra,C,67,29,55,84,51,33,15,13,13,26,4,BC: Victoria,17
3,Marek Vanacker,L,60,47,35,82,33,39,15,8,10,18,12,ONT: London,19
4,Adam Benak,C,48,28,49,77,29,22,15,3,8,11,2,Czech Rep.: Plzen,18
5,Cooper Dennis,F,68,34,40,74,14,48,15,5,2,7,2,NY: Ithaca,18
6,Adam Jiricek,D,55,19,40,59,33,31,15,7,15,22,6,Czech Rep.: Klatovy,19
7,Vladimir Dravecky,D,58,9,19,28,24,24,11,0,3,3,2,NH: Manchester,17
8,Edison Engle,D,61,3,25,28,8,26,15,1,4,5,0,IL: Arlington Heights,18
9,Charlie Paquette 1,R,29,12,15,27,28,7,15,3,8,11,2,ONT: Essex,19
10,Luca Testa,C,50,15,11,26,22,11,15,4,1,5,12,ONT: Grimsby,19
11,Jett Luchanko 1,C,27,5,21,26,24,10,15,2,5,7,10,ONT: London,19
12,Owen Protz,D,64,5,18,23,84,45,15,0,6,6,12,ONT: Ottawa,19
13,Sam McCue 2,L,25,10,7,17,24,13,--,--,--,--,--,ONT: Sudbury,19
14,Parker Holmes,F,49,6,11,17,37,7,11,1,0,1,13,ONT: South Mountain,18
15,Ben Danford 3,D,37,2,14,16,8,12,13,1,2,3,9,ONT: Belleville,19
16,Gabriel Frasca 4,C,31,6,9,15,23,9,15,3,2,5,10,ONT: Brampton,19
17,Zackary Sandhu 3,D,53,3,11,14,51,21,15,0,0,0,12,ONT: Toronto,19
18,Jeremy Freeman,L,57,3,11,14,13,-1,--,--,--,--,--,ONT: Oakville,16
19,Layne Gallacher 5,C,21,5,7,12,2,9,--,--,--,--,--,ONT: Brooklin,17
20,Nikolas Rossetto,R,49,6,3,9,4,-9,4,0,0,0,0,ONT: Sault Ste. Marie,17
21,Aiden O'Donnell 6,L,14,4,4,8,12,5,--,--,--,--,--,NS: Cole Harbour,17
22,Ryder Boulton,L,48,4,4,8,79,-2,15,1,1,2,11,NY: Huntington,19
