Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Usage
2025-10-13,1.0,0.8125,1.125,1.125,1.5,1.125,1.125,1.75,1.125,1.125,1.125,1.0,1.5,1.125,1.125,1.5,High
2025-10-20,1.0,1.125,1.0,1.125,1.25,1.0,1.125,1.5,1.0,1.125,1.0,1.0,1.25,1.0,1.125,1.5,High
2025-10-29,1.125,1.375,1.125,1.0,1.5,1.0,1.125,1.5,1.125,1.0,1.1875,1.0,1.5,1.0,1.0,1.5,High
2025-11-12,1.0,1.25,1.25,1.25,1.5,0.75,0.875,1.75,1.25,1.25,1.25,1.25,1.5,0.75,0.75,1.5,High
2025-11-17,1.25,1.0,1.0,1.125,1.75,1.0,1.0,1.75,1.125,1.125,1.0,1.125,1.75,1.0,1.0,1.75,High
2025-11-24,1.0,1.0,0.75,1.0,1.5,1.0,1.125,1.5,1.0,1.125,0.75,1.0,1.5,0.75,1.0,1.5,High
2025-12-01,1.125,1.0,0.5,1.0,1.5,1.0,1.125,1.5,1.0,1.125,0.75,1.0,1.5,0.75,1.0,1.5,High
2025-12-09,1.125,1.0,0.75,1.0,1.5,1.0,1.0,1.5,1.0,1.25,1.0,1.25,1.5,0.875,1.0,1.5,High
2025-12-16,1.25,1.125,1.0,1.25,1.5,1.0,1.0,1.5,1.25,1.25,1.0,1.25,1.5,0.875,1.0,1.375,High
2025-12-22,1.25,1.25,1.0,1.375,1.5,1.0,1.0,1.75,1.25,1.5,1.25,1.375,1.5,1.0,1.0,1.375,High
2026-01-05,1.375,1.25,1.25,1.375,1.75,1.0,1.0,1.75,1.375,1.5,1.25,1.375,1.5,1.0,1.0,1.75,High
2026-01-13,1.375,1.375,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75,High
2026-01-20,1.5,1.5,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75,High
2026-01-27,1.5,1.5,1.5,1.5,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75,High
2026-02-06,1.5,1.5,1.25,1.25,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.625,1.25,1.75,High
2026-02-13,1.5,1.5,1.5,1.375,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75,High
2026-02-18,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.625,0.625,1.25,1.5,High
2026-02-26,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,1.0,1.25,1.75,High
2026-03-05,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,High
2026-03-12,1.5,1.5,1.5,1.375,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,High
2026-03-19,1.5,1.375,1.5,1.375,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,0.75,1.0,1.5,Low
2026-03-24,1.5,1.375,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.25,1.25,1.5,1.5,0.75,1.0,1.5,Low
2026-04-06,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.75,Low
2026-04-08,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.375,Low
2026-04-16,1.5,1.25,1.25,1.5,1.625,1.25,1.25,1.5,1.5,1.5,1.375,1.25,1.5,1.1875,1.1875,1.5,Low
2026-04-23,1.5,1.5,1.5,1.5,2.0,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.625,1.25,1.25,1.75,Low
2026-04-29,1.5,1.5,1.5,1.5,1.75,1.25,1.25,1.75,1.5,1.5,1.5,1.25,1.75,1.0,1.25,1.75,Low
2026-05-05,1.5,1.5,1.5,1.5,2.0,1.25,1.25,2.0,1.5,1.5,1.5,1.5,2.0,1.0,1.25,2.0,Low
2026-05-13,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.5,1.5,1.5,1.125,1.5,1.0,1.375,1.5,Low
2026-05-20,1.5,1.0,1.0,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.0,1.5,1.0,1.5,1.5,Low
2026-06-01,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.25,1.25,1.25,1.125,1.375,1.125,1.5,1.625,Medium
2026-06-09,1.5,1.125,1.125,1.75,1.5,1.5,1.625,1.375,1.5,1.375,1.375,1.125,1.625,1.125,1.5,1.75,Medium
2026-06-16,1.5,1.125,1.125,1.75,1.5,1.5,1.625,1.375,1.5,1.375,1.375,1.125,1.625,1.125,1.5,1.75,Medium
2026-06-30,1.5,1.5,1.5,1.625,1.75,1.5,1.5,1.75,1.5,1.5,1.5,1.25,1.75,1.0,1.5,1.75,Medium
2026-07-28,1.625,1.5,1.5,1.625,2.0,1.25,1.5,2.0,1.625,1.5,1.625,1.25,2.0,1.25,1.5,2.0,Medium
