"utility","weather","correlation","phase"
"daily_avg_kwh","avg_dew",-0.130882772251341,"Yearly"
"System demand (kW)","avg_dew",0.0469104574150047,"Yearly"
"Avg therms / day","avg_dew",-0.173071774662235,"Yearly"
"daily_avg_kwh","avg_temp",-0.464169294679525,"Yearly"
"System demand (kW)","avg_temp",-0.0343521846845415,"Yearly"
"Avg therms / day","avg_temp",-0.882232491826744,"Yearly"
"daily_avg_kwh","avg_rh",-0.240269061369411,"Yearly"
"System demand (kW)","avg_rh",0.092142730229311,"Yearly"
"Avg therms / day","avg_rh",-0.491522040785614,"Yearly"
"daily_avg_kwh","avg_dew",-0.480125925123403,"High_Use"
"System demand (kW)","avg_dew",-0.104811023603207,"High_Use"
"Avg therms / day","avg_dew",-0.510982660956342,"High_Use"
"daily_avg_kwh","avg_temp",-0.192136621148427,"High_Use"
"System demand (kW)","avg_temp",0.207374102044947,"High_Use"
"Avg therms / day","avg_temp",-0.799867397705996,"High_Use"
"daily_avg_kwh","avg_rh",-0.271814385332705,"High_Use"
"System demand (kW)","avg_rh",0.170571073616965,"High_Use"
"Avg therms / day","avg_rh",-0.728460000825468,"High_Use"
"daily_avg_kwh","avg_dew",-0.820618458492302,"Med_Use"
"System demand (kW)","avg_dew",-0.909110630326748,"Med_Use"
"Avg therms / day","avg_dew",0.746330410015638,"Med_Use"
"daily_avg_kwh","avg_temp",0.392851177550962,"Med_Use"
"System demand (kW)","avg_temp",0.550014504351243,"Med_Use"
"Avg therms / day","avg_temp",-0.98566882389067,"Med_Use"
"daily_avg_kwh","avg_rh",-0.911993761486911,"Med_Use"
"System demand (kW)","avg_rh",-0.970373065683226,"Med_Use"
"Avg therms / day","avg_rh",0.610669187352428,"Med_Use"
"daily_avg_kwh","avg_dew",0.950458464220443,"Low_Use"
"System demand (kW)","avg_dew",0.924695881040303,"Low_Use"
"Avg therms / day","avg_dew",-0.423509508219952,"Low_Use"
"daily_avg_kwh","avg_temp",0.190442883819429,"Low_Use"
"System demand (kW)","avg_temp",0.187616117110021,"Low_Use"
"Avg therms / day","avg_temp",0.237510603059261,"Low_Use"
"daily_avg_kwh","avg_rh",0.972273965339539,"Low_Use"
"System demand (kW)","avg_rh",0.942813713400722,"Low_Use"
"Avg therms / day","avg_rh",-0.480797750763376,"Low_Use"
