Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,First,last
10/13/2025,1,0.8125,1.125,1.125,1.5,1.125,1.125,1.75,1.125,1.125,1.125,1,1.5,1.125,1.125,1.5,Jacob,Brockwell
10/20/2025,1,1.125,1,1.125,1.25,1,1.125,1.5,1,1.125,1,1,1.25,1,1.125,1.5,Jacob,Brockwell
10/29/2025,1.125,1.375,1.125,1,1.5,1,1.125,1.5,1.125,1,1.1875,1,1.5,1,1,1.5,Jacob,Brockwell
11/12/2025,1,1.25,1.25,1.25,1.5,0.75,0.875,1.75,1.25,1.25,1.25,1.25,1.5,0.75,0.75,1.5,Jacob,Brockwell
11/17/2025,1.25,1,1,1.125,1.75,1,1,1.75,1.125,1.125,1,1.125,1.75,1,1,1.75,Jacob,Brockwell
11/24/2025,1,1,0.75,1,1.5,1,1.125,1.5,1,1.125,0.75,1,1.5,0.75,1,1.5,Jacob,Brockwell
12/1/2025,1.125,1,0.5,1,1.5,1,1.125,1.5,1,1.125,0.75,1,1.5,0.75,1,1.5,Jacob,Brockwell
12/9/2025,1.125,1,0.75,1,1.5,1,1,1.5,1,1.25,1,1.25,1.5,0.875,1,1.5,Jacob,Brockwell
12/16/2025,1.25,1.125,1,1.25,1.5,1,1,1.5,1.25,1.25,1,1.25,1.5,0.875,1,1.375,Jacob,Brockwell
12/22/2025,1.25,1.25,1,1.375,1.5,1,1,1.75,1.25,1.5,1.25,1.375,1.5,1,1,1.375,Jacob,Brockwell
1/5/2026,1.375,1.25,1.25,1.375,1.75,1,1,1.75,1.375,1.5,1.25,1.375,1.5,1,1,1.75,Jacob,Brockwell
1/13/2026,1.375,1.375,1.5,1.5,1.75,1,1,1.75,1.5,1.5,1.375,1.375,1.5,1,1,1.75,Jacob,Brockwell
1/20/2026,1.5,1.5,1.5,1.5,1.75,1,1,1.75,1.5,1.5,1.375,1.375,1.5,1,1,1.75,Jacob,Brockwell
1/27/2026,1.5,1.5,1.5,1.5,1.75,1,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75,Jacob,Brockwell
2/6/2026,1.5,1.5,1.25,1.25,1.75,1,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.625,1.25,1.75,Jacob,Brockwell
2/13/2026,1.5,1.5,1.5,1.375,1.75,1,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.75,1.25,1.75,Jacob,Brockwell
2/18/2026,1.5,1.5,1.5,1.5,1.5,1,1.25,1.5,1.5,1.5,1.5,1.5,1.625,0.625,1.25,1.5,Jacob,Brockwell
2/26/2026,1.5,1.5,1.5,1.5,1.5,1,1.25,1.75,1.5,1.5,1.5,1.5,1.75,1,1.25,1.75,Jacob,Brockwell
3/5/2026,1.5,1.5,1.5,1.5,1.5,1,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1.5,Jacob,Brockwell
3/12/2026,1.5,1.5,1.5,1.375,1.5,1,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1.5,Jacob,Brockwell
3/19/2026,1.5,1.375,1.5,1.375,1.5,1,1.25,1.5,1.5,1.5,1.5,1.5,1.5,0.75,1,1.5,Jacob,Brockwell
3/24/2026,1.5,1.375,1.5,1.5,1.5,1,1.25,1.5,1.5,1.25,1.25,1.5,1.5,0.75,1,1.5,Jacob,Brockwell
4/6/2026,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.75,Jacob,Brockwell
4/8/2026,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.375,Jacob,Brockwell
4/16/2026,1.5,1.25,1.25,1.5,1.625,1.25,1.25,1.5,1.5,1.5,1.375,1.25,1.5,1.1875,1.1875,1.5,Jacob,Brockwell
4/23/2026,1.5,1.5,1.5,1.5,2,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.625,1.25,1.25,1.75,Jacob,Brockwell
4/29/2026,1.5,1.5,1.5,1.5,1.75,1.25,1.25,1.75,1.5,1.5,1.5,1.25,1.75,1,1.25,1.75,Jacob,Brockwell
5/5/2026,1.5,1.5,1.5,1.5,2,1.25,1.25,2,1.5,1.5,1.5,1.5,2,1,1.25,2,Jacob,Brockwell
5/13/2026,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.5,1.5,1.5,1.125,1.5,1,1.375,1.5,Jacob,Brockwell
5/20/2026,1.5,1,1,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1,1.5,1,1.5,1.5,Jacob,Brockwell
6/1/2026,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.25,1.25,1.25,1.125,1.375,1.125,1.5,1.625,Jacob,Brockwell
6/9/2026,1.5,1.125,1.125,1.75,1.5,1.5,1.625,1.375,1.5,1.375,1.375,1.125,1.625,1.125,1.5,1.75,Jacob,Brockwell
