Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10/13/2025,"1""","13/16""","1-1/8""","1-1/8""","1-1/2""","1-1/8""","1-1/8""","1-3/4""","1-1/8""","1-1/8""","1-1/8""","1""","1-1/2""","1-1/8""","1-1/8""","1-1/2"""
10/20/2025,"1""","1-1/8""","1""","1-1/8""","1-1/4""","1""","1-1/8""","1-1/2""","1""","1-1/8""","1""","1""","1-1/4""","1""","1-1/8""","1-1/2"""
10/29/2025,"1-1/8""","1-3/8""","1-1/8""","1""","1-1/2""","1""","1-1/8""","1-1/2""","1-1/8""","1""","1-3/16""","1""","1-1/2""","1""","1""","1-1/2"""
11/12/2025,"1""","1-1/4""","1-1/4""","1-1/4""","1-1/2""","3/4""","7/8""","1-3/4""","1-1/4""","1-1/4""","1-1/4""","1-1/4""","1-1/2""","3/4""","3/4""","1-1/2"""
11/17/2025,"1-1/4""","1""","1""","1-1/8""","1-3/4""","1""","1""","1-3/4""","1-1/8""","1-1/8""","1""","1-1/8""","1-3/4""","1""","1""","1-3/4"""
11/24/2025,"1""","1""","3/4""","1""","1-1/2""","1""","1-1/8""","1-1/2""","1""","1-1/8""","3/4""","1""","1-1/2""","3/4""","1""","1-1/2"""
12/1/2025,"1-1/8""","1""","1/2""","1""","1-1/2""","1""","1-1/8""","1-1/2""","1""","1-1/8""","3/4""","1""","1-1/2""","3/4""","1""","1-1/2"""
12/9/2025,"1-1/8""","1""","3/4""","1""","1-1/2""","1""","1""","1-1/2""","1""","1-1/4""","1""","1-1/4""","1-1/2""","7/8""","1""","1-1/2"""
12/16/2025,"1-1/4""","1-1/8""","1""","1-1/4""","1-1/2""","1""","1""","1-1/2""","1-1/4""","1-1/4""","1""","1-1/4""","1-1/2""","7/8""","1""","1-3/8"""
12/22/2025,"1-1/4""","1-1/4""","1""","1-3/8""","1-1/2""","1""","1""","1-3/4""","1-1/4""","1-1/2""","1-1/4""","1-3/8""","1-1/2""","1""","1""","1-3/8"""
1/5/2026,"1-3/8""","1-1/4""","1-1/4""","1-3/8""","1-3/4""","1""","1""","1-3/4""","1-3/8""","1-1/2""","1-1/4""","1-3/8""","1-1/2""","1""","1""","1-3/4"""
1/13/2026,"1-3/8""","1-3/8""","1-1/2""","1-1/2""","1-3/4""","1""","1""","1-3/4""","1-1/2""","1-1/2""","1-3/8""","1-3/8""","1-1/2""","1""","1""","1-3/4"""
1/20/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","1""","1""","1-3/4""","1-1/2""","1-1/2""","1-3/8""","1-3/8""","1-1/2""","1""","1""","1-3/4"""
1/27/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","1""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","3/4""","1-1/4""","1-3/4"""
2/6/2026,"1-1/2""","1-1/2""","1-1/4""","1-1/4""","1-3/4""","1""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","5/8""","1-1/4""","1-3/4"""
2/13/2026,"1-1/2""","1-1/2""","1-1/2""","1-3/8""","1-3/4""","1""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","3/4""","1-1/4""","1-3/4"""
2/18/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-5/8""","5/8""","1-1/4""","1-1/2"""
2/26/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-3/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-3/4""","1""","1-1/4""","1-3/4"""
3/5/2026,"1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1-1/4""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1-1/2""","1""","1""","1-1/2"""
