"utility","interaction","correlation","phase"
"daily_avg_kwh","temp_dew_int",-0.447076846325171,"Yearly"
"System demand (kW)","temp_dew_int",-0.00516641908621513,"Yearly"
"Avg therms / day","temp_dew_int",-0.860802250389591,"Yearly"
"daily_avg_kwh","temp_rh_int",-0.450233223763148,"Yearly"
"System demand (kW)","temp_rh_int",-0.00622194141173829,"Yearly"
"Avg therms / day","temp_rh_int",-0.873177169855963,"Yearly"
"daily_avg_kwh","dew_rh_int",-0.188662186590469,"Yearly"
"System demand (kW)","dew_rh_int",0.0779434025096973,"Yearly"
"Avg therms / day","dew_rh_int",-0.341118433427657,"Yearly"
"daily_avg_kwh","temp_dew_int",-0.220828809014045,"High_Use"
"System demand (kW)","temp_dew_int",0.198502902816777,"High_Use"
"Avg therms / day","temp_dew_int",-0.813902597213252,"High_Use"
"daily_avg_kwh","temp_rh_int",-0.204348761288881,"High_Use"
"System demand (kW)","temp_rh_int",0.207713482996754,"High_Use"
"Avg therms / day","temp_rh_int",-0.80107490445904,"High_Use"
"daily_avg_kwh","dew_rh_int",-0.38679347298279,"High_Use"
"System demand (kW)","dew_rh_int",0.0504763927991463,"High_Use"
"Avg therms / day","dew_rh_int",-0.671327095787591,"High_Use"
"daily_avg_kwh","temp_dew_int",-0.990660378175991,"Med_Use"
"System demand (kW)","temp_dew_int",-0.999123454645591,"Med_Use"
"Avg therms / day","temp_dew_int",0.362553341226056,"Med_Use"
"daily_avg_kwh","temp_rh_int",-0.832277305924034,"Med_Use"
"System demand (kW)","temp_rh_int",-0.720519702553257,"Med_Use"
"Avg therms / day","temp_rh_int",-0.346057477026648,"Med_Use"
"daily_avg_kwh","dew_rh_int",-0.857783602057635,"Med_Use"
"System demand (kW)","dew_rh_int",-0.935472484380396,"Med_Use"
"Avg therms / day","dew_rh_int",0.699059812362264,"Med_Use"
"daily_avg_kwh","temp_dew_int",0.771130447975861,"Low_Use"
"System demand (kW)","temp_dew_int",0.753183576715536,"Low_Use"
"Avg therms / day","temp_dew_int",-0.208296521956837,"Low_Use"
"daily_avg_kwh","temp_rh_int",0.806462491480028,"Low_Use"
"System demand (kW)","temp_rh_int",0.785464986935627,"Low_Use"
"Avg therms / day","temp_rh_int",-0.233699156865853,"Low_Use"
"daily_avg_kwh","dew_rh_int",0.964709939124789,"Low_Use"
"System demand (kW)","dew_rh_int",0.937412556933038,"Low_Use"
"Avg therms / day","dew_rh_int",-0.452828714852438,"Low_Use"
