date,ice_depth_zone__1,ice_depth_zone__2,ice_depth_zone__3,ice_depth_zone__4,ice_depth_zone__5,ice_depth_zone__6,ice_depth_zone__7,ice_depth_zone__8,ice_depth_zone__9,ice_depth_zone__10,ice_depth_zone__11,ice_depth_zone__12,ice_depth_zone__13,ice_depth_zone__14,ice_depth_zone__15,ice_depth_zone__16,average_ice_depth,ice_period_start,ice_period_end,average_dew_point,average_humidity,average_max_humidity,average_max_wind_speed,average_snow_depth,average_tmax,average_tmin,max_wind_gusts,total_precipitation,total_snowfall,weather_days_found
2026-04-08,1.25,1.125,1.125,1.5,1.75,1.25,1.25,1.75,1.25,1.25,1.25,1.375,1.5,1.25,1.25,1.375,1.34375,2025-11-13,2026-04-08,20.755917585714286,70.9073126802721,83.74829931972789,23.924971397959183,1.6666666666666667,36.992223480120806,18.82586873631899,84.6,9.690000000000001,35.8,147.0
2026-03-05,1.5,1.5,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.5,1.390625,2026-02-27,2026-03-05,23.611870714285715,69.52976285714286,87.71428571428571,17.57072685714286,0.2857142857142857,41.214285714285715,20.297521454947336,59.039997,0.06999999999999999,1.0,7.0
2026-06-09,1.5,1.125,1.125,1.75,1.5,1.5,1.625,1.375,1.5,1.375,1.375,1.125,1.625,1.125,1.5,1.75,1.4296875,2026-03-06,2026-06-09,38.78695947916666,65.30251691666668,82.42708333333333,24.878684031250003,0.23958333333333334,61.179234425226845,39.55973448355993,84.6,12.530000000000001,6.0,96.0
2026-05-20,1.5,1.0,1.0,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.0,1.5,1.0,1.5,1.5,1.3125,2025-11-25,2026-05-20,24.880393040112995,69.64995254237289,83.66666666666667,24.66098069774011,1.384180790960452,42.56580142651574,23.62359806642694,84.6,16.65,35.8,177.0
2026-06-01,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.25,1.25,1.25,1.125,1.375,1.125,1.5,1.625,1.359375,2026-04-07,2026-06-01,41.41416973214286,63.18601107142858,81.55357142857143,24.189595357142856,0.0,65.02143927982875,42.97875094413757,78.479996,7.5600000000000005,0.0,56.0
2026-01-20,1.5,1.5,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75,1.40625,2025-10-30,2026-01-20,21.995734281686744,72.5175700240964,84.5421686746988,23.149904506024097,1.5301204819277108,36.34488011555499,20.276275910526874,74.520004,5.129999999999999,25.700000000000003,83.0
2026-04-29,1.5,1.5,1.5,1.5,1.75,1.25,1.25,1.75,1.5,1.5,1.5,1.25,1.75,1.0,1.25,1.75,1.46875,2025-12-10,2026-04-29,23.697231648936167,70.78427872340427,84.22695035460993,24.71546939361702,1.297872340425532,40.796569161381285,21.82889295807967,84.6,14.969999999999999,22.5,141.0
2026-03-24,1.5,1.375,1.5,1.5,1.5,1.0,1.25,1.5,1.5,1.25,1.25,1.5,1.5,0.75,1.0,1.5,1.3359375,2026-02-14,2026-03-24,26.05407041025641,69.55341876923076,84.12820512820512,25.581953192307694,0.717948717948718,44.344510298508865,25.060415463569836,84.6,2.72,7.0,39.0
2026-04-16,1.5,1.25,1.25,1.5,1.625,1.25,1.25,1.5,1.5,1.5,1.375,1.25,1.5,1.1875,1.1875,1.5,1.3828125,2025-12-17,2026-04-16,22.69466534479339,71.02858109090909,84.11570247933884,24.72239479752066,1.2727272727272727,39.5686805977309,20.57638598670644,84.6,13.1,20.9,121.0
2026-01-13,1.375,1.375,1.5,1.5,1.75,1.0,1.0,1.75,1.5,1.5,1.375,1.375,1.5,1.0,1.0,1.75,1.390625,2025-10-21,2026-01-13,24.759332575058824,72.68137242352941,85.04705882352941,22.46127155294118,1.2941176470588236,39.14544002308565,23.103128253712374,74.520004,4.6899999999999995,19.2,85.0
2026-02-06,1.5,1.5,1.25,1.25,1.75,1.0,1.25,1.75,1.5,1.5,1.5,1.5,1.75,0.625,1.25,1.75,1.4140625,2026-01-14,2026-02-06,4.1966725175,68.87499966666667,80.95833333333333,23.919193875,3.4583333333333335,19.909522891044617,1.138358434041341,72.0,0.72,8.8,24.0
2026-05-13,1.5,1.125,1.125,1.5,1.75,1.25,1.5,1.5,1.5,1.5,1.5,1.125,1.5,1.0,1.375,1.5,1.390625,2025-10-14,2026-05-13,26.121310519339623,69.8653692264151,83.92924528301887,23.76906516745283,1.1556603773584906,43.49911676262909,24.90851467060593,84.6,19.4,35.800000000000004,212.0
2025-12-22,1.25,1.25,1.0,1.375,1.5,1.0,1.0,1.75,1.25,1.5,1.25,1.375,1.5,1.0,1.0,1.375,1.2734375,2025-11-18,2025-12-22,18.777840953714286,73.0226184,84.88571428571429,23.635472657142852,2.8,32.39146287100656,15.814285714285715,74.520004,2.12,14.899999999999999,35.0
2026-05-05,1.5,1.5,1.5,1.5,2.0,1.25,1.25,2.0,1.5,1.5,1.5,1.5,2.0,1.0,1.25,2.0,1.546875,2025-12-23,2026-05-05,25.222714721791043,70.560012119403,84.28358208955224,24.41869436940299,1.0970149253731343,42.688549639573736,23.722939605143534,84.6,14.620000000000001,20.9,134.0
