#,Player Name,Pos.,GP,G,A,Pts,PIM,#ERROR!,GP,G,A,Pts,PIM,Birthplace,Age
1,Cooper Simpson,L,61,34,40,74,68,5,4,1,2,3,0,MN: Shakopee,18
2,Ryan Rucinski,C,59,27,35,62,88,11,4,1,1,2,4,OH: Broadview Heights,18
3,Evan Jardine,L,53,27,34,61,70,12,4,1,2,3,2,MI: Bloomfield Hills,17
4,Jack Hextall,C,59,20,38,58,28,8,4,1,1,2,0,IL: Arlington Heights,17
5,Malachi McKinnon,F,61,25,25,50,14,22,4,0,0,0,2,MN: Forest Lake,18
6,Jack Willson,D,57,12,35,47,29,6,4,0,1,1,0,MI: Northville,20
7,Carter Murphy,D,62,6,37,43,30,22,4,0,0,0,2,TX: The Woodands,18
8,Jakub Hes,F,58,11,17,28,14,20,4,0,0,0,0,Czechia: Zlin,18
9,Kazumo Sasaki,L,39,9,15,24,63,15,4,0,0,0,4,Japan: Nishitokyo,19
10,Logan Anderson,F,59,5,12,17,57,4,4,0,1,1,0,FL: Fort Myers,16
11,Cal Huston,D,53,2,15,17,45,12,4,0,0,0,0,OH: Youngstown,20
12,Matous Kucharcik,C,35,9,7,16,18,6,4,1,1,2,0,Italy: Vipiteno,18
13,Richard Zemlicka,C,29,6,6,12,72,1,4,1,0,1,4,Czech Rep.: Prague,19
14,Matej Teply 1,D,29,4,6,10,29,17,4,0,2,2,2,CT: Stamford,20
15,Alexander Svitov,F,49,2,8,10,34,4,4,0,0,0,2,FL: Miramar,16
16,Brayden Thompson,D,54,2,8,10,14,-2,--,--,--,--,--,MAN: Winnipeg,17
17,Matvey Butkovskiy,L,21,3,6,9,6,9,--,--,--,--,--,Russia: Petroskoi,19
18,Sean Miller,F,46,3,6,9,4,0,--,--,--,--,--,PA: Pittsburgh,16
19,Jack Hamilton,D,49,1,8,9,29,13,4,0,0,0,0,OH: Powell,19
20,Lenny Boos,F,19,5,3,8,0,3,4,0,0,0,0,Germany: Cologne,18
21,Brody Berard,D,45,1,6,7,72,8,1,0,0,0,0,RI: Cumberland,15
22,Jesse Orlowsky,F,45,4,2,6,23,5,3,0,0,0,2,NY: Brooklyn,18
