Rank,Team,GP,W,L,OTL,SOL,Pts,GF,GA,GD,PIM
1,Moncton Wildcats,64,53,9,2,0,108,294,144,150,653
2,Rimouski Oceanic,64,46,14,2,2,96,249,178,71,610
3,Drummondville Voltigeurs,64,40,18,3,3,86,224,174,50,542
4,Shawinigan Cataractes,64,38,18,3,5,84,253,190,63,656
5,Rouyn-Noranda Huskies,64,37,19,3,5,82,258,210,48,511
6,Chicoutimi Sagueneens,64,36,18,3,7,82,238,204,34,636
7,Baie-Comeau Drakkar,64,36,23,4,1,77,236,186,50,708
8,Blainville-Boisbriand Armada,64,34,21,7,2,77,248,209,39,674
9,Cape Breton Eagles,64,34,23,4,3,75,212,195,17,676
10,Sherbrooke Phoenix,64,33,25,2,4,72,201,201,0,719
11,Acadie-Bathurst Titan,64,33,28,2,1,69,182,212,-30,837
12,Charlottetown Islanders,64,30,29,4,1,65,194,203,-9,727
13,Val d'Or Foreurs,64,29,28,6,1,65,239,270,-31,668
14,Quebec Remparts,64,23,34,3,4,53,177,237,-60,727
15,Gatineau Olympiques,64,17,32,8,7,49,181,240,-59,516
16,Halifax Mooseheads,64,19,35,8,2,48,155,231,-76,526
17,Saint John Sea Dogs,64,21,43,0,0,42,154,262,-108,587
18,Victoriaville Tigres,64,17,43,1,3,38,166,315,-149,654
19,Central,0,0,0,0,0,0,0,0,0,0
20,&nbsp;,0,0,0,0,0,0,0,0,0,0
21,&nbsp;,0,0,0,0,0,0,0,0,0,0
22,East,0,0,0,0,0,0,0,0,0,0
23,&nbsp;,0,0,0,0,0,0,0,0,0,0
24,&nbsp;,0,0,0,0,0,0,0,0,0,0
25,Maritimes,0,0,0,0,0,0,0,0,0,0
26,&nbsp;,0,0,0,0,0,0,0,0,0,0
27,&nbsp;,0,0,0,0,0,0,0,0,0,0
28,West,0,0,0,0,0,0,0,0,0,0
