Rank,Team,GP,W,L,OTL,SOL,Pts,GF,GA,GD,PIM
1,Portland Winterhawks,63,45,11,3,4,97,270,164,106,724
2,Everett Silvertips,63,46,13,3,1,96,228,142,86,712
3,Edmonton Oil Kings,64,42,12,6,4,94,239,167,72,690
4,Spokane Chiefs,64,41,18,4,1,87,258,179,79,583
5,Kamloops Blazers,63,41,18,3,1,86,271,166,105,786
6,Medicine Hat Tigers,63,41,19,2,1,85,265,182,83,595
7,Prince Albert Raiders,64,36,18,6,4,82,210,160,50,603
8,Lethbridge Hurricanes,63,37,19,2,5,81,249,193,56,694
9,Winnipeg Ice,63,38,24,1,0,77,231,207,24,559
10,Brandon Wheat Kings,63,35,22,4,2,76,227,173,54,776
11,Calgary Hitmen,64,35,24,4,1,75,219,201,18,840
12,Saskatoon Blades,63,34,24,2,3,73,211,197,14,695
13,Victoria Royals,64,32,24,6,2,72,176,190,-14,732
14,Vancouver Giants,62,32,24,4,2,70,189,166,23,712
15,Kelowna Rockets,63,29,28,3,3,64,181,208,-27,831
16,Seattle Thunderbirds,63,24,32,4,3,55,175,240,-65,889
17,Red Deer Rebels,63,24,33,3,3,54,181,250,-69,845
18,Regina Pats,63,21,34,6,2,50,183,258,-75,816
19,Prince George Cougars,62,20,34,4,4,48,144,205,-61,591
20,Tri-City Americans,63,17,40,4,2,40,157,302,-145,844
21,Moose Jaw Warriors,62,14,44,4,0,32,146,291,-145,600
22,Swift Current Broncos,63,10,48,2,3,25,129,298,-169,581
23,B.C.,0,0,0,0,0,0,0,0,0,0
24,&nbsp;,0,0,0,0,0,0,0,0,0,0
25,&nbsp;,0,0,0,0,0,0,0,0,0,0
26,Central,0,0,0,0,0,0,0,0,0,0
27,&nbsp;,0,0,0,0,0,0,0,0,0,0
28,&nbsp;,0,0,0,0,0,0,0,0,0,0
29,East,0,0,0,0,0,0,0,0,0,0
30,&nbsp;,0,0,0,0,0,0,0,0,0,0
31,&nbsp;,0,0,0,0,0,0,0,0,0,0
32,U.S.,0,0,0,0,0,0,0,0,0,0
