Rank,Team,GP,W,L,OTL,SOL,Pts,GF,GA,GD,PIM
1,Ottawa 67's,62,50,11,0,1,101,296,164,132,664
2,London Knights,62,45,15,1,1,92,265,187,78,673
3,Saginaw Spirit,62,41,16,3,2,87,289,225,64,651
4,Kitchener Rangers,63,40,16,5,2,87,264,213,51,756
5,Flint Firebirds,63,40,21,1,1,82,274,243,31,566
6,Peterborough Petes,62,37,21,2,2,78,250,198,52,780
7,Windsor Spitfires,62,34,20,8,0,76,256,233,23,637
8,Oshawa Generals,62,31,20,6,5,73,229,227,2,648
9,Guelph Storm,63,32,23,3,5,72,218,209,9,543
10,Sudbury Wolves,63,34,27,1,1,70,259,240,19,796
11,Owen Sound Attack,62,30,24,4,4,68,235,207,28,624
12,Barrie Colts,63,29,28,4,2,64,220,261,-41,835
13,Erie Otters,63,26,26,4,7,63,229,236,-7,672
14,Soo Greyhounds,64,29,31,3,1,62,253,257,-4,758
15,Mississauga Steelheads,61,27,29,4,1,59,223,227,-4,694
16,Hamilton Bulldogs,62,24,30,7,1,56,235,267,-32,719
17,Sarnia Sting,62,22,34,5,1,50,244,299,-55,720
18,Kingston Frontenacs,62,19,39,2,2,42,198,285,-87,674
19,Niagara IceDogs,63,18,39,5,1,42,194,320,-126,712
20,North Bay Battalion,62,17,41,4,0,38,189,314,-125,698
21,Central,0,0,0,0,0,0,0,0,0,0
22,&nbsp;,0,0,0,0,0,0,0,0,0,0
23,&nbsp;,0,0,0,0,0,0,0,0,0,0
24,East,0,0,0,0,0,0,0,0,0,0
25,&nbsp;,0,0,0,0,0,0,0,0,0,0
26,&nbsp;,0,0,0,0,0,0,0,0,0,0
27,Midwest,0,0,0,0,0,0,0,0,0,0
28,&nbsp;,0,0,0,0,0,0,0,0,0,0
29,&nbsp;,0,0,0,0,0,0,0,0,0,0
30,West,0,0,0,0,0,0,0,0,0,0
