team,player,player_url,league,season
Youngstown Phantoms,Ryan Ward,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=189721,USHL,2025-26
Youngstown Phantoms,Brandon Gotkin,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=178021,USHL,2025-26
Youngstown Phantoms,Cooper Simpson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=269686,USHL,2025-26
Youngstown Phantoms,Ryan Rucinski,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=269684,USHL,2025-26
Youngstown Phantoms,Evan Jardine,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272563,USHL,2025-26
Youngstown Phantoms,Jack Hextall,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=287476,USHL,2025-26
Youngstown Phantoms,Malachi McKinnon,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272663,USHL,2025-26
Youngstown Phantoms,Jack Willson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=251354,USHL,2025-26
Youngstown Phantoms,Carter Murphy,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272990,USHL,2025-26
Youngstown Phantoms,Jakub Hes,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=288007,USHL,2025-26
Youngstown Phantoms,Kazumo Sasaki,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=260609,USHL,2025-26
Youngstown Phantoms,Logan Anderson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=296527,USHL,2025-26
Youngstown Phantoms,Cal Huston,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=270884,USHL,2025-26
Youngstown Phantoms,Matous Kucharcik,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=292425,USHL,2025-26
Youngstown Phantoms,Richard Zemlicka,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=292431,USHL,2025-26
Youngstown Phantoms,Matej Teply,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=264767,USHL,2025-26
Youngstown Phantoms,Alexander Svitov,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=297583,USHL,2025-26
Youngstown Phantoms,Brayden Thompson,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=295442,USHL,2025-26
Youngstown Phantoms,Matvey Butkovskiy,https://www.hockeydb.com/ihdb/stats/pdisplay.php?pid=272697,USHL,2025-26
